First Level,Second Level,Third Level
,,"""The Lord""......................................................................................................................................74"
,,"""Life-Giver""....................................................................................................................................74"
,,"""Who Proceedeth from the Father and the Son""...........................................................................74"
,,Certain Divine Works are Appropriated to the Holy Ghost............................................................75
,,"Creation, Government, Life ...........................................................................................................75"
,,The Seven Gifts.............................................................................................................................75
,,Justifying Grace.............................................................................................................................75
,"ARTICLE IX : ""I BELIEVE IN THE HOLY CATHOLIC CHURCH; THE COMMUNION OF SAINTS""",
,,..........................................................................................................................................................76
,,The Importance Of This Article......................................................................................................76
,,"First Part Of This Article : ""I Believe In The Holy Catholic Church................................................76"
,,"""Church""........................................................................................................................................76"
,,Mysteries Which The Word Church Comprises ............................................................................77
,,Other Names Given The Church In Scripture ...............................................................................77
,,The Parts of the Church ................................................................................................................77
,,The Members Of The Church Militant ...........................................................................................78
,,Those Who Are Not Members Of The Church..............................................................................78
,,"Other Uses of the Word ""Church"" .................................................................................................78"
,,The Marks Of The Church.............................................................................................................79
,,"""One'..............................................................................................................................................79"
,,Unity In Government .....................................................................................................................79
,,"Unity In Spirit, Hope And Faith......................................................................................................80"
,,"""Holy"".............................................................................................................................................80"
,,"""Catholic"".......................................................................................................................................81"
,,Apostolic........................................................................................................................................81
,,Figures of the Church....................................................................................................................82
,,"""I Believe the Holy Catholic Church"" .............................................................................................82"
,,"Second Part of this Article: ""The Communion of Saints""...............................................................83"
,,Importance Of This Truth ..............................................................................................................83
,,"Meaning of ""The Communion of Saints"" .......................................................................................83"
,,Communion Of Good Works .........................................................................................................83
,,Those Who Share In This Communion .........................................................................................84
,,Communion In Other Blessings.....................................................................................................84
,"6ARTICLE X : ""THE FORGIVENESS OF SINS""...............................................................................84",
,,Importance Of This Article.............................................................................................................84
,,The Church Has the Power of Forgiving Sins...............................................................................85
,,Extent of this Power: .....................................................................................................................85
,,All Sins That Precede Baptism......................................................................................................85
,,All Sins Committed After Baptism .................................................................................................85
,,Limitation of this Power: ................................................................................................................86
,,"It Is Not Limited As To Sins, Persons, Or Time.............................................................................86"
,,It Is Limited As To Its Ministers And Exercise...............................................................................86
,,Greatness of this Power................................................................................................................86
,,Sin Can Be Forgiven Only By The Power Of God ........................................................................86
,,This Power Communicated To None Before Christ ......................................................................87
,,Sin Remitted Through The Blood Of Christ...................................................................................87
,,The Great Evil From Which Forgiveness Delivers Man ................................................................87
,,Exhortation:...................................................................................................................................88
,,This Remedy To Be Used .............................................................................................................88
,,Abuse To Be Guarded Against......................................................................................................88
,"ARTICLE XI : ""THE RESURRECTION OF THE BODY"" ................................................................88",
,,Importance Of This Article.............................................................................................................88
,,"""The Resurrection of the Body"".....................................................................................................89"
,,The Fact of the Resurrection:........................................................................................................89
,,Examples And Proofs Derived From Scripture .............................................................................89
,,Analogies From Nature .................................................................................................................89
,,Arguments Drawn From Reason...................................................................................................90
,,All Shall Rise.................................................................................................................................90
,,The Body Shall Rise Substantially the Same................................................................................91
,,Restoration Of All That Pertains To The Nature And Adornment Of The Body............................91
,,Restoration Of All That Pertains To The Integrity Of The Body....................................................92
,,The Condition of the Risen Body Shall be Different......................................................................92
,,Immortality.....................................................................................................................................92
,,The Qualities Of A Glorified Body .................................................................................................93
,,Impassibility...................................................................................................................................93
,,Brightness......................................................................................................................................93
,,Agility.............................................................................................................................................93
,,Subtility..........................................................................................................................................93
,,Advantages of Deep Meditation on this Article .............................................................................94
,"ARTICLE XII : ""LIFE EVERLASTING""............................................................................................94",
,,Importance Of This Article.............................................................................................................94
,,"""Life Everlasting"" ...........................................................................................................................95"
,,"""Everlasting""..................................................................................................................................95"
,,Life.................................................................................................................................................95
,,Negative and Positive Elements of Eternal Life ............................................................................96
,,The Negative.................................................................................................................................96
,,The Positive...................................................................................................................................96
,,Essential Happiness......................................................................................................................96
,,The Light Of Glory .........................................................................................................................97
,,The Beatific Vision.........................................................................................................................97
,,An Illustration Of This Truth...........................................................................................................97
,,Accessory Happiness....................................................................................................................98
,,Glory..............................................................................................................................................98
,,Honour...........................................................................................................................................98
,,Peace............................................................................................................................................98
,,How to Arrive at the Enjoyment of this Happiness........................................................................99
7PART II : THE SACRAMENTS............................................................................................................99,,
,,Importance Of Instruction On The Sacraments.............................................................................99
,,"The Word ""Sacrament""..................................................................................................................99"
,,Definition of a Sacrament............................................................................................................100
,,"""A Sacrament is a Sign"" ..............................................................................................................100"
,,Proof From Reason .....................................................................................................................100
,,Proof From Scripture ...................................................................................................................101
,,"""Sign of a Sacred Thing"" : Kind of Sign Meant Here...................................................................101"
,,Natural Signs...............................................................................................................................101
,,"Signs Invented By Man, ..............................................................................................................101"
,,Signs Instituted By God...............................................................................................................102
,,Kind of Sacred Thing Meant Here...............................................................................................102
,,Other Sacred Things Signified By The Sacraments....................................................................102
,,"All The Sacraments Signify Something Present, Something Past, Something Future:..............102"
,,A Sacrament Sometimes Signifies The Presence Of More Than One Thing .............................103
,,Why the Sacraments were Instituted ..........................................................................................103
,,Constituent Parts of the Sacraments ..........................................................................................104
,,Ceremonies Used in the Administration of the Sacraments .......................................................105
,,The Number Of The Sacraments ................................................................................................105
,,Comparisons among the Sacraments.........................................................................................106
,,The Author of the Sacraments ....................................................................................................106
,,The Ministers of the Sacraments.................................................................................................106
,,Unworthiness Of The Minister And Validity.................................................................................107
,,Lawfulness Of Administration......................................................................................................107
,,Effects of the Sacraments ...........................................................................................................108
,,First Effect: Justifying Grace .......................................................................................................108
,,Second Effect: Sacramental Character.......................................................................................109
,,How to Make Instruction on the Sacraments Profitable ..............................................................109
,THE SACRAMENT OF BAPTISM..................................................................................................110,
,,Importance Of Instruction On Baptism ........................................................................................110
,,Names of this Sacrament............................................................................................................110
,,Definition Of Baptism...................................................................................................................111
,,Constituent Elements Of Baptism ...............................................................................................111
,,Matter of Baptism ........................................................................................................................111
,,Testimony Of Scripture Concerning The Matter Of Baptism.......................................................111
,,Figures.........................................................................................................................................112
,,Prophecies...................................................................................................................................112
,,Fitness.........................................................................................................................................112
,,Chrism Added To Water For Solemn Baptism............................................................................112
,,Form of Baptism ..........................................................................................................................113
,,Words Of The Form.....................................................................................................................113
,,Essential And Non-Essential Words Of The Form......................................................................113
,,Baptism In The Name Of Christ ..................................................................................................114
,,Administration of Baptism............................................................................................................114
,,Institution Of Baptism ..................................................................................................................114
,,Baptism Instituted At Christ's Baptism ........................................................................................115
,,Baptism Made Obligatory After Christ's Resurrection.................................................................115
,,Reflection.....................................................................................................................................115
,,The Ministers of Baptism.............................................................................................................116
,,Bishops And Priests The Ordinary Ministers...............................................................................116
,,Deacons Extraordinary Ministers Of Baptism .............................................................................116
,,Ministers In Case Of Necessity ...................................................................................................116
,,The Sponsors at Baptism............................................................................................................117
,,Why Sponsors Are Required At Baptism ....................................................................................117
,,Antiquity Of This Law ..................................................................................................................117
,,8Affinity Contracted By Sponsors..................................................................................................117
,,Duties Of Sponsors .....................................................................................................................118
,,Who May Not Be Sponsors.........................................................................................................118
,,Number Of Sponsors...................................................................................................................118
,,Necessity of Baptism...................................................................................................................118
,,Infant Baptism: It's Necessity ......................................................................................................119
,,Infants Receive The Graces Of Baptism.....................................................................................119
,,Baptism Of Infants Should Not Be Delayed ................................................................................119
,,Baptism Of Adults........................................................................................................................120
,,They Should Not Delay Their Baptism Unduly............................................................................120
,,Ordinarily They Are Not Baptised At Once..................................................................................120
,,In Case Of Necessity Adults May Be: Baptised At Once ............................................................120
,,Dispositions for Baptism..............................................................................................................121
,,Intention.......................................................................................................................................121
,,Faith.............................................................................................................................................121
,,Repentance.................................................................................................................................121
,,Advantages To Be Derived From These Reflections..................................................................122
,,Effects of Baptism .......................................................................................................................122
,,First Effect Of Baptism: Remission Of Sin ..................................................................................122
,,Concupiscence Which Remains After Baptism Is No Sin ...........................................................123
,,Further Proof Of The First Effect Of Baptism..............................................................................123
,,The Second Effect Of Baptism: Remission Of All Punishment Due To Sin................................123
,,Baptism Does Not Exempt From Penalties Of The Civil Law .....................................................124
,,Baptism Remits The Punishment Due To Original Sin After Death............................................124
,,Baptism Does Not Free Us From The Miseries Of Life...............................................................124
,,Baptism A Source Of Happiness To The Christian Even In This Life.........................................125
,,Third Effect Of Baptism: Grace Of Regeneration........................................................................125
,,Fourth Effect Of Baptism: Infused Virtues And Incorporation With Christ ..................................125
,,Why The Practice Of Virtue Is Difficult Even After Baptism ........................................................126
,,Fifth Effect Of Baptism: Character Of Christian ..........................................................................126
,,Baptism Not To Be Repeated......................................................................................................126
,,In Conditional Baptism The Sacrament Is Not Repeated ...........................................................126
,,Sixth Effect Of Baptism: Opening The Gates Of Heaven ...........................................................127
,,Effects Of Baptism Foreshadowed In The Baptism Of Christ.....................................................127
,,Measure In Which Those Effects Are Obtained..........................................................................127
,,Ceremonies of Baptism...............................................................................................................127
,,Their Importance .........................................................................................................................127
,,Three Classes Of Ceremonies In Baptism..................................................................................128
,,Ceremonies That Are Observed Before Coming To The Font: Consecration Of Baptismal Water
,,.....................................................................................................................................................128
,,The Person To Be Baptised Stands At The Church Door...........................................................128
,,Catechetical Instruction...............................................................................................................128
,,The Exorcism...............................................................................................................................129
,,The Salt.......................................................................................................................................129
,,The Sign Of The Cross................................................................................................................129
,,The Saliva....................................................................................................................................129
,,The Ceremonies Observed After Coming To The Font ..............................................................129
,,The Renunciation Of Satan.........................................................................................................129
,,The Profession Of Faith ..............................................................................................................129
,,The Wish To Be Baptised............................................................................................................130
,,The Ceremonies That Follow Baptism: Chrism...........................................................................130
,,The White Garment .....................................................................................................................130
,,The Lighted Candle .....................................................................................................................130
,,The Name Given In Baptism .......................................................................................................130
,,Recapitulation..............................................................................................................................131
,THE SACRAMENT OF CONFIRMATION......................................................................................131,
,,Importance Of Instruction On Confirmation.................................................................................131
,,Name of this Sacrament..............................................................................................................131
,,Confirmation is a Sacrament.......................................................................................................132
,,Confirmation is Distinct from Baptism .........................................................................................132
,,Institution of Confirmation............................................................................................................133
,,Component Parts of Confirmation...............................................................................................133
,,The Matter...................................................................................................................................133
,,The Remote Matter Of Confirmation Is Chrism...........................................................................133
,,The Appropriateness Of Chrism..................................................................................................134
,,Chrism To Be Consecrated By The Bishop ................................................................................134
,,The Form Of Confirmation...........................................................................................................134
,,Minister of Confirmation ..............................................................................................................135
,,Sponsors at Confirmation............................................................................................................135
,,The Subject of Confirmation........................................................................................................135
,,All Should Be Confirmed .............................................................................................................136
,,The Proper Age For Confirmation ...............................................................................................136
,,Dispositions For Receiving Confirmation ....................................................................................136
,,The Effects of Confirmation.........................................................................................................136
,,The Grace Of Strength................................................................................................................137
,,Increase In Grace........................................................................................................................137
,,Character Of Soldier Of Christ ....................................................................................................137
,,Ceremonies Of Confirmation.......................................................................................................138
,,The Anointing Of The Forehead..................................................................................................138
,,The Sign Of The Cross................................................................................................................138
,,Time When Confirmation Should Be Conferred..........................................................................138
,,The Slap On The Cheek..............................................................................................................138
,,The Pax.......................................................................................................................................138
,,Admonition...................................................................................................................................139
,THE SACRAMENT OF THE EUCHARIST ....................................................................................139,
,,Importance Of Instruction On The Eucharist...............................................................................139
,,Institution of the Eucharist...........................................................................................................139
,,"Meaning of the Word ""Eucharist"" ................................................................................................139"
,,Other Names Of This Sacrament................................................................................................140
,,The Eucharist Is a Sacrament Properly So Called......................................................................140
,,In What Respect The Eucharist Is A Sacrament.........................................................................141
,,How The Eucharist Differs From All The Other Sacraments ......................................................141
,,The Eucharist Is But One Sacrament..........................................................................................141
,,The Eucharist Signifies Three Things .........................................................................................142
,,Constituent Parts of the Eucharist...............................................................................................142
,,The Matter...................................................................................................................................142
,,The First Element Of The Eucharist Is Bread .............................................................................142
,,The Sacramental Bread Must Be Wheaten.................................................................................142
,,The Sacramental Bread Should Be Unleavened ........................................................................143
,,Unleavened Bread Not Essential ................................................................................................143
,,Quantity Of The Bread ................................................................................................................143
,,The Second Element Of The Eucharist Is Wine..........................................................................143
,,Water Should Be Mixed With The Wine......................................................................................144
,,No Other Elements Pertain To This Sacrament..........................................................................144
,,Peculiar Fitness Of Bread And Wine...........................................................................................144
,,Form Of The Eucharist................................................................................................................145
,,Form To Be Used In The Consecration Of The Bread................................................................145
,,Not All The Words Used Are Essential .......................................................................................145
,,Form To Be Used In The Consecration Of The Wine .................................................................146
,,Explanation Of The Form Used In The Consecration Of The Wine............................................146
,,10Three Mysteries Of The Eucharist ..............................................................................................147
,,The Mystery of the Real Presence..............................................................................................148
,,Proof From Scripture ...................................................................................................................148
,,Proof From The Teaching Of The Church...................................................................................148
,,Testimony Of The Fathers...........................................................................................................148
,,Teaching Of The Councils...........................................................................................................149
,,Two Great Benefits Of Proving The Real Presence....................................................................149
,,Faith Is Strengthened ..................................................................................................................149
,,The Soul Is Gladdened................................................................................................................150
,,Meaning of the Real Presence....................................................................................................150
,,Christ Whole And Entire Is Present In The Eucharist .................................................................150
,,Presence In Virtue Of The Sacrament And In Virtue Of Concomitance .....................................150
,,Christ Whole And Entire Present Under Each Species ..............................................................151
,,Christ Whole And Entire Present In Every Part Of Each Species...............................................151
,,The Mystery of Transubstantiation..............................................................................................151
,,Proof From The Dogma Of The Real Presence..........................................................................151
,,Proof From The Councils ............................................................................................................152
,,Proof From Scripture ...................................................................................................................152
,,Proof From The Fathers..............................................................................................................152
,,Why The Eucharist Is Called Bread After Consecration .............................................................152
,,The Meaning of Transubstantiation.............................................................................................153
,,Transubstantiation A Total Conversion .......................................................................................153
,,A Consequence Of Transubstantiation .......................................................................................153
,,The Mystery of the Accidents without a Subject .........................................................................154
,,Proof From The Preceding Dogmas ...........................................................................................154
,,Proof From The Teaching Of The Church...................................................................................154
,,Advantages Of This Mystery .......................................................................................................154
,,The Effects of the Eucharist ........................................................................................................155
,,The Eucharist Contains Christ And Is The Food Of The Soul ....................................................155
,,The Eucharist Gives Grace .........................................................................................................155
,,The Grace Of The Eucharist Sustains ........................................................................................155
,,The Grace Of The Eucharist Invigorates And Delights ...............................................................156
,,The Eucharist Remits Venial Sins...............................................................................................156
,,The Eucharist Strengthens Against Temptation..........................................................................156
,,The Eucharist Facilitates The Attainment Of Eternal Life ...........................................................156
,,How The Effects Of The Eucharist May Be Developed And Illustrated ......................................157
,,Recipient of the Eucharist ...........................................................................................................157
,,Threefold Manner Of Communicating .........................................................................................157
,,Necessity Of Previous Preparation For Communion ..................................................................157
,,Preparation Of Soul.....................................................................................................................158
,,Preparation Of Body....................................................................................................................158
,,The Obligation of Communion.....................................................................................................159
,,How Often Must Communion Be Received?...............................................................................159
,,The Church Desires The Faithful To Communicate Daily...........................................................159
,,The Church Commands; The Faithful To Communicate Once A Year.......................................159
,,Who Are Obliged By The Law Of Communion............................................................................160
,,The Rite of Administering Communion .......................................................................................160
,,Why The Celebrant Alone Receives Under Both Species ..........................................................160
,,The Minister of the Eucharist.......................................................................................................161
,,Only Priests Have Power To Consecrate And Administer The Eucharist...................................161
,,The Laity Prohibited To Touch The Sacred Vessels...................................................................161
,,The Unworthiness Of The Minister Does Not Invalidate The Sacrament ...................................162
,,The Eucharist as a Sacrifice........................................................................................................162
,,Importance Of Instruction On The Mass .....................................................................................162
,,Distinction of Sacrament and Sacrifice .......................................................................................162
,,The Mass Is a True Sacrifice.......................................................................................................163
,,11Proof From The Council Of Trent................................................................................................163
,,Proof From Scripture ...................................................................................................................163
,,Excellence of the Mass ...............................................................................................................164
,,The Mass Is The Same Sacrifice As That Of The Cross ............................................................164
,,"The Mass A Sacrifice Of Praise, Thanksgiving And Propitiation ................................................164"
,,The Mass Profits Both The Living And The Dead.......................................................................164
,,The Rites and ceremonies of the Mass.......................................................................................165
,THE SACRAMENT OF PENANCE ................................................................................................165,
,,Importance Of Instruction On This Sacrament............................................................................165
,,"Different Meanings of the Word ""Penance"".................................................................................165"
,,The Virtue of Penance.................................................................................................................166
,,Meaning Of Penance...................................................................................................................166
,,Penance Proved To Be A Virtue .................................................................................................166
,,The Steps Which Lead Up To This Virtue...................................................................................167
,,Penance as a Sacrament............................................................................................................167
,,Why Christ Instituted This Sacrament.........................................................................................168
,,Penance Is a Sacrament.............................................................................................................168
,,This Sacrament May Be Repeated .............................................................................................168
,,The Constituent Parts of Penance ..............................................................................................169
,,The Matter...................................................................................................................................169
,,The Form Of Penance.................................................................................................................169
,,The Rites Observed in the Sacrament of Penance.....................................................................169
,,Effects of the Sacrament of Penance..........................................................................................170
,,The Necessity of the Sacrament of Penance..............................................................................170
,,The Three Integral Parts of Penance ..........................................................................................171
,,Their Existence............................................................................................................................171
,,Their Nature.................................................................................................................................171
,,Necessity Of These Integral Parts ..............................................................................................171
,,The First Part of Penance.........................................................................................................172
,,Contrition.....................................................................................................................................172
,,The Meaning Of Contrition ..........................................................................................................172
,,Contrition Produces Sorrow ........................................................................................................172
,,Names Of Sorrow For Sin ...........................................................................................................173
,,Qualities of Sorrow for Sin...........................................................................................................173
,,It Should Be Supreme .................................................................................................................173
,,Sorrow For Sin Should Be Intense..............................................................................................174
,,Sorrow For Sin Should Be Universal...........................................................................................174
,,Conditions Required for Contrition ..............................................................................................174
,,Detestation Of Sin .......................................................................................................................174
,,Intention Of Confession And Satisfaction....................................................................................175
,,Purpose Of Amendment..............................................................................................................175
,,Reasons For These Conditions...................................................................................................175
,,Forgiveness Of Injuries ...............................................................................................................175
,,The Effects of Contrition..............................................................................................................176
,,Means of Arousing True Contrition .............................................................................................176
,,The Second Part of Penance....................................................................................................176
,,Confession...................................................................................................................................176
,,Necessity Of Confession.............................................................................................................177
,,Advantages Of Confession..........................................................................................................177
,,Definition Of Confession..............................................................................................................177
,,Confession Instituted By Christ ...................................................................................................178
,,Rites Added By The Church........................................................................................................178
,,The Law of Confession................................................................................................................179
,,Proof Of The Obligation...............................................................................................................179
,,The Age At Which The Law Of Confession Obliges ...................................................................179
,,12At What Time The Law Of Confession Obliges...........................................................................179
,,The Qualities of Confession ........................................................................................................180
,,Confession Should Be Entire ......................................................................................................180
,,Sins Concealed ...........................................................................................................................181
,,Sins Forgotten .............................................................................................................................181
,,"Confession Should Be Plain, Simple, Sincere ............................................................................181"
,,"Confession Should Be Prudent, Modest, Brief............................................................................181"
,,Confession Should Be Made Privately And Often.......................................................................181
,,The Minister of the Sacrament of Penance.................................................................................182
,,The Usual Minister ......................................................................................................................182
,,The Minister In Danger Of Death ................................................................................................182
,,Qualifications Of The Minister .....................................................................................................182
,,The Confessor Must Observe The Seal Of Confession..............................................................183
,,Duties of the Confessor towards Various Classes of Penitents..................................................183
,,The Well Disposed Should Be Exhorted To Thanksgiving And Perseverance...........................183
,,The Indisposed Should Be Helped..............................................................................................183
,,Those Who Seek To Excuse Their Sins Should Be Corrected...................................................184
,,The Careless Should Be Rebuked..............................................................................................184
,,The Unprepared Should Be Dismissed Or Led To Good Disposition.........................................184
,,The Pastor Should Show The Wrong Of Human Respect..........................................................185
,,The Third Part of Penance........................................................................................................185
,,Satisfaction..................................................................................................................................185
,,"General Meaning Of The Word ""Satisfaction,""............................................................................185"
,,Various Kinds Of Satisfaction To God.........................................................................................185
,,Elements Of Sacramental Satisfaction........................................................................................186
,,Necessity Of Satisfaction ............................................................................................................186
,,Advantages of Satisfaction..........................................................................................................186
,,It Is Required By God’s Justice And Mercy.................................................................................187
,,Satisfaction Atones To The Church ............................................................................................187
,,By Satisfaction We Are Made Like Unto Christ...........................................................................187
,,Satisfaction Heals The Wounds Of Sin .......................................................................................188
,,Satisfaction Disarms The Divine Vengeance..............................................................................188
,,Source of the Efficacy of Satisfactory Works ..............................................................................188
